15,_rid0H252GV0VA4,Paid,14000,_bidO76XGON1F2I,_pid8923827128,2022/01/20
55,_rid1367NPXV4VZ,Paid,24000,_bid5UMX29C87LW,_pid8923827130,2022/01/21
65,_rid1ZJXD57TZQA,Paid,8500,_bidG05X7JPD20U,_pid8923827127,2022/01/22
3,_rid21CEHTZPTX3,Paid,8000,_bidAMWBKK8CW3V,_pid8923827126,2022/01/23
85,_rid2228L07FA1C,Paid,14000,_bidHX3V3J42I32,_pid8923827129,2022/01/24
31,_rid2MB8IB4QIA3,Paid,8000,_bidSMSK5DT8HDU,_pid8923827126,2022/01/25
103,_rid2X7ZSEEU3X7,Paid,14000,_bidVJZ6W618JXG,_pid8923827129,2022/01/26
78,_rid2XC6TY7CUG0,Paid,8500,_bidQRLN0OTKSAG,_pid8923827127,2022/01/27
8,_rid32DP2CM31IK,Paid,14000,_bidS76L9T73G12,_pid8923827128,2022/01/28
68,_rid35B38WE98WJ,Paid,8500,_bid9QRKAJBF3LC,_pid8923827127,2022/01/29
71,_rid39R30P7D47T,Paid,8500,_bidWMA6C66D6ZD,_pid8923827127,2022/01/30
94,_rid4LW7OIZICZC,Paid,14000,_bidSZTLTJXDEIQ,_pid8923827129,2022/01/31
81,_rid4M5MDROPH3F,Paid,8500,_bidBAN7RVB8AFG,_pid8923827127,2022/02/01
75,_rid51O0R5KRS6J,Paid,8500,_bidNSWBEV7KZSN,_pid8923827127,2022/02/02
74,_rid54K1896JEFM,Paid,8500,_bid9CDHBLLQS4C,_pid8923827127,2022/02/03
25,_rid574TI7AIFE6,Paid,2500,_bidL88I94XEK4P,_pid8923827124,2022/02/04
22,_rid5AU5L1STDAU,Paid,14000,_bidKZ6JOYQ3FFP,_pid8923827128,2022/02/05
60,_rid5VGW7X9P8J0,Paid,24000,_bid8IEMKS2G4JZ,_pid8923827130,2022/02/06
96,_rid6PS13GNSSQ8,Paid,14000,_bidHDRAXUUKQLH,_pid8923827129,2022/02/07
82,_rid6Y50H0FIB7C,Paid,8500,_bidE2VLO8IVSUC,_pid8923827127,2022/02/08
50,_rid6ZTB8PHE8RG,Paid,24000,_bidDSESGGPN87L,_pid8923827130,2022/02/09
100,_rid7E9HSG8S6OQ,Paid,14000,_bidTUM2H2K2B9S,_pid8923827129,2022/02/10
6,_rid7FK6JGBY6E7,Paid,14000,_bid2E5RRB1ZQD8,_pid8923827128,2022/02/11
37,_rid7QBPX9VH6YY,Paid,8000,_bid6E68X7OZ5IS,_pid8923827126,2022/02/12
89,_rid7UFAT1AB94B,Paid,14000,_bidCC4W3U36JFJ,_pid8923827129,2022/02/13
48,_rid83P3HE0ZO4P,Paid,24000,_bidXC9C3VQHU6E,_pid8923827130,2022/02/14
72,_rid84GAKP3RMQA,Paid,8500,_bidAKC37V2OOSS,_pid8923827127,2022/02/15
62,_rid85F8ZDP86YL,Paid,24000,_bidNZ37QWDQBAY,_pid8923827130,2022/02/16
27,_rid85Q6FIAIJIF,Paid,8000,_bidZKCZ81MO3JW,_pid8923827126,2022/02/17
28,_rid87XPPVSZM8K,Paid,8000,_bid00FCDEQ5JZ3,_pid8923827126,2022/02/18
39,_rid9ZFEGWIMAHF,Paid,8000,_bidS43EQ3TPH0K,_pid8923827126,2022/02/19
18,_ridATHE60EAWPV,Paid,14000,_bid3XLJZ7GK9UN,_pid8923827128,2022/02/20
34,_ridBD0DUQFE083,Paid,8000,_bidRFGPO4HES6H,_pid8923827126,2022/02/21
57,_ridC6U6EEZL10O,Paid,24000,_bidAVYCSA4A6W8,_pid8923827130,2022/02/22
7,_ridCCHQX2FMZC4,Paid,14000,_bid42E6PUW2XLB,_pid8923827128,2022/02/23
47,_ridCCIWGERCTQM,Paid,24000,_bidMOZHG52QVP6,_pid8923827130,2022/02/24
61,_ridD6NS09EKCPA,Paid,24000,_bid1PV15VJMK08,_pid8923827130,2022/02/25
58,_ridDEAAP9JSKBV,Paid,24000,_bidGMLMV5F8TLU,_pid8923827130,2022/02/26
30,_ridDJEUE15REKT,Paid,8000,_bid12G2CDT90SG,_pid8923827126,2022/02/27
76,_ridEL81QEFGZUM,Paid,8500,_bidUOHJIQPHJKX,_pid8923827127,2022/02/28
66,_ridF4S41LQXAR3,Paid,8500,_bidC6GWDLJ2PI2,_pid8923827127,2022/03/01
42,_ridFEEGV1Y7QBC,Paid,8000,_bidL8EGQRACUL2,_pid8923827126,2022/03/02
70,_ridFOHZFRQPONI,Paid,8500,_bidHPJKQXYHBKB,_pid8923827127,2022/03/03
23,_ridFU084IHGBT9,Paid,14000,_bidSX31PZJN98Y,_pid8923827128,2022/03/04
20,_ridFZKHKIW9HTD,Paid,14000,_bid4VJC7HYGD6W,_pid8923827128,2022/03/05
106,_ridG3PHZ5IBW62,Paid,8000,_bidDC9JDKB6QRV,_pid8923827126,2022/03/06
33,_ridG6VJJXF3WHJ,Paid,8000,_bidUL7V6CUN3LK,_pid8923827126,2022/03/07
102,_ridGUC4Z4BYUMF,Paid,14000,_bid3Z6Z3OCZD33,_pid8923827129,2022/03/08
53,_ridHA42HB25DXV,Paid,24000,_bidG3OO3L1Z7P6,_pid8923827130,2022/03/09
11,_ridHC5AE7KVKHD,Paid,14000,_bidP7ORM9I05GG,_pid8923827128,2022/03/10
19,_ridHHZJ8690O75,Paid,14000,_bidA762JUYVMOB,_pid8923827128,2022/03/11
49,_ridHR3C0MD4QV3,Paid,24000,_bid6F7900S92EG,_pid8923827130,2022/03/12
83,_ridI1JKQOQTEW6,Paid,8500,_bid4TZBR4Y3U3F,_pid8923827127,2022/03/13
101,_ridI2PYMY238YG,Paid,14000,_bid87AH0DLHSRW,_pid8923827129,2022/03/14
40,_ridIF1ZUGKWLEP,Paid,8000,_bidLEO1J6FPLIG,_pid8923827126,2022/03/15
29,_ridIF9DJ789NYS,Paid,8000,_bidN0AKFERHJ0P,_pid8923827126,2022/03/16
56,_ridILWGRNJCYRE,Paid,24000,_bidQ226PYE6P0L,_pid8923827130,2022/03/17
16,_ridJ1WI9VQYZTW,Paid,14000,_bid3UKESOU6JN1,_pid8923827128,2022/03/18
10,_ridJC8NP2BJVAY,Paid,14000,_bid0FCJW3B7TAA,_pid8923827128,2022/03/19
98,_ridJPYKE7UZCOZ,Paid,14000,_bid50S8RD93KG3,_pid8923827129,2022/03/20
105,_ridKAWR4668MBE,Paid,14000,_bidDU2R4XVNLTR,_pid8923827129,2022/03/21
41,_ridKF74FNLUQ93,Paid,8000,_bidTKAQE8TLAFP,_pid8923827126,2022/03/22
86,_ridKX1T9AB12LL,Paid,14000,_bid47I5GGGMNQG,_pid8923827129,2022/03/23
99,_ridL07GF8E45NF,Paid,14000,_bidBV7TGB810MF,_pid8923827129,2022/03/24
